trong	E	B-l	B-l
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
một	N	I-l	I-l
chiều	N	I-l	I-l
có	V	I-l	I-l
2	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	N	I-l	I-l
chiều	N	I-l	I-l
có	V	I-l	I-l
2	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
90	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	A	I-l	I-l
chiều	A	I-l	I-l
có	V	I-l	I-l
3	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
70	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

điều	V	I-ti	O
khiển	V	I-ti	O
giao	N	I-ti	O
thông	N	I-ti	O
ra	V	O	O
hiệu	N	O	O
lệnh	N	O	O
bằng	E	O	O
hai	M	B-if4	B-if4
tay	N	I-if4	I-if4
hoặc	CC	I-if4	I-if4
một	M	I-if4	I-if4
tay	N	I-if4	I-if4
giang	V	I-if4	I-if4
ngang	A	I-if4	I-if4
để	E	O	O
báo	V	O	O
hiệu	V	O	O
thì	C	O	O
người	N	O	O
tham	V	O	O
giao	V	O	O
giao	N	O	O
thông	N	O	O
phải	V	B-qt	B-qt
đi	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
đúng	A	O	O
quy	N	O	O
tắc	N	O	O
giao	N	O	O
thông	N	O	O

trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
nhiều	A	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
cho	E	O	I-l
xe	N	O	I-l
đi	V	O	I-l
cùng	A	O	I-l
chiều	N	O	I-l
được	V	O	O
phân	V	O	B-if4
biệt	V	O	I-if4
bằng	E	O	I-if4
vạch	N	O	I-if4
kẻ	N	O	I-if4
phân	V	O	I-if4
làn	N	O	I-if4
đường	N	O	I-if4
,	,	O	O
người	N	O	O
điều	V	O	O
khiển	V	O	O
phương	N	O	O
tiện	N	O	O
phải	V	B-qt	O
cho	E	O	O
xe	N	O	O
đi	V	B-qt	B-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

ban	N	B-if4	B-if4
đêm	N	I-if4	I-if4
xe	N	B-tv	B-tv
cơ	N	I-tv	I-tv
giới	N	I-tv	I-tv
đi	V	O	O
ngược	A	O	O
chiều	N	O	O
gặp	V	O	O
nhau	N	O	O
,	,	O	O
đèn	A	B-if1	B-if1
chiếu	A	I-if1	I-if1
sáng	N	I-if1	I-if1
phải	V	O	O
được	V	O	O
sử	V	B-qt	B-qt
dụng	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

khi	N	B-if4	B-if4
có	V	I-if4	I-if4
tín	N	I-if4	I-if4
hiệu	N	I-if4	I-if4
của	E	I-if4	I-if4
xe	N	I-if4	I-if4
ưu	V	I-if4	I-if4
tiên	V	I-if4	I-if4
,	,	O	O
người	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
phải	V	B-qt	B-qt
làm	X	I-qt	I-qt
gì	X	I-qt	I-qt

người	N	O	O
lái	V	O	O
xe	V	O	O
phải	V	B-qt	B-qt
làm	X	I-qt	I-qt
gì	X	I-qt	I-qt
khi	N	B-if4	B-if4
điều	V	I-if4	I-if4
khiển	V	I-if4	I-if4
xe	N	I-if4	I-if4
vào	V	I-if4	I-if4
đường	N	I-if4	I-if4
cao	N	I-if4	I-if4
tốc	N	I-if4	I-if4

tại	E	B-l	B-l
nơi	N	I-l	I-l
đường	N	I-l	I-l
giao	V	I-l	I-l
nhau	N	I-l	I-l
,	,	O	O
khi	N	O	O
đèn	N	B-tl	O
điều	V	I-tl	O
khiển	V	I-tl	O
giao	N	I-tl	O
thông	N	I-tl	O
có	V	O	O
tín	N	B-if2	O
hiệu	N	I-if2	O
vàng	N	I-if2	O
,	,	O	O
người	N	O	O
điều	V	O	O
khiển	V	O	O
phương	N	O	O
tiện	N	O	O
phải	V	O	O
thực	V	B-qt	B-qt
hiện	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

khi	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	O	O
chạy	V	O	O
trên	E	O	O
các	L	O	O
vị	N	B-if4	O
trí	N	I-if4	O
có	V	I-if4	O
tầm	N	I-if4	O
nhìn	V	I-if4	O
hạn	V	I-if4	O
chế	V	I-if4	O
người	N	O	O
lái	N	O	O
xe	N	O	O
muốn	V	O	O
vượt	V	B-a	B-a
xe	N	I-a	I-a
khác	A	I-a	I-a
thì	N	O	O
phải	N	O	O
xử	V	B-qt	B-qt
lý	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

khi	N	O	B-if4
vượt	V	B-a	I-if4
xe	N	I-a	I-if4
khác	A	I-a	I-if4
người	N	O	O
lái	V	O	O
xe	V	O	O
phải	V	O	O
thực	V	B-qt	B-qt
hiện	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

hàng	N	B-if4	O
hóa	N	I-if4	O
có	V	I-if4	O
ảnh	V	I-if4	O
hưởng	V	I-if4	O
đến	E	I-if4	O
sức	N	I-if4	O
khỏe	N	I-if4	O
hành	N	I-if4	O
khách	N	I-if4	O
được	R	B-qt	O
nhận	V	O	O
chở	V	B-a	B-a
trên	E	O	O
xe	N	B-tv	B-tv
khách	N	I-tv	I-tv
hay	C	O	O
không	R	B-qt	B-qt

việc	N	O	O
nối	V	B-a	O
kéo	V	I-a	O
với	E	I-a	O
xe	N	I-a	O
được	V	I-a	O
kéo	V	I-a	O
trong	E	O	O
trường	N	O	O
hợp	N	O	O
hệ	N	B-if1	O
thống	N	I-if1	O
hãm	V	I-if1	O
của	E	I-if1	O
xe	N	I-if1	O
được	R	I-if1	O
kéo	V	I-if1	B-a
không	R	I-if1	I-a
còn	V	I-if1	I-a
hiệu	N	I-if1	I-a
lực	N	I-if1	I-a
thì	C	O	O
phải	V	B-qt	B-qt
dùng	V	I-qt	I-qt
cách	N	I-qt	I-qt
nào	P	I-qt	I-qt

khi	N	O	O
điều	V	O	O
khiển	V	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
số	N	O	B-if1
tự	A	O	I-if1
động	A	O	I-if1
,	,	O	O
người	N	O	O
lái	V	O	O
xe	V	O	O
sử	V	B-if3	O
dụng	V	I-if3	B-a
chân	N	I-if3	I-a
như	X	B-qt	B-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

người	N	O	O
lái	V	O	O
xe	V	O	O
phải	V	O	O
giảm	V	B-a	B-a
tốc	N	I-a	I-a
độ	N	I-a	I-a
đến	E	I-a	O
mức	N	I-a	O
không	R	I-a	B-a
gây	V	I-a	I-a
nguy	N	I-a	I-a
hiểm	N	I-a	I-a
(	N	O	I-a
có	R	O	I-a
thể	R	O	I-a
dừng	V	O	I-a
lại	R	O	I-a
một	N	O	I-a
cách	N	O	I-a
an	A	O	I-a
toàn	A	O	I-a
)	A	O	I-a
trong	E	B-qt	O
trường	N	I-qt	B-qt
hợp	N	I-qt	I-qt
nào	P	I-qt	I-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	B-tv	B-tv
gắn	N	I-tv	I-tv
máy	N	I-tv	I-tv
trên	E	O	O
đường	N	O	O
mà	C	O	O
trong	E	O	O
máu	N	O	O
có	V	O	O
nồng	N	B-ac	B-ac
độ	N	I-ac	I-ac
cồn	N	I-ac	I-ac
vượt	V	B-qt	O
quá	R	I-qt	O
bao	P	I-qt	B-qt
nhiêu	P	I-qt	I-qt
thì	C	I-qt	I-qt
bị	V	I-qt	I-qt
cấm	V	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
cao	N	I-l	I-l
tốc	N	I-l	I-l
,	,	O	O
người	N	O	O
lái	V	O	O
xe	V	O	O
xử	V	B-qt	B-qt
lý	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
khi	N	O	O
vượt	V	B-a	B-a
quá	R	I-a	I-a
lối	N	I-a	I-a
ra	V	I-a	I-a
của	E	I-a	I-a
đường	N	I-a	I-a
định	V	I-a	I-a
rẽ	V	I-a	I-a

khi	N	O	O
điều	V	O	O
khiển	V	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
qua	E	O	B-l
đoạn	Nc	B-if4	I-l
đường	N	I-if4	I-l
ngập	V	I-if4	I-l
nước	N	I-if4	I-l
,	,	O	O
người	N	O	O
lái	N	O	O
xe	N	O	O
cần	V	O	O
thực	V	B-qt	B-qt
hiện	V	I-qt	I-qt
các	L	I-qt	I-qt
thao	V	I-qt	I-qt
tác	V	I-qt	I-qt
nào	P	I-qt	I-qt

có	V	B-qt	B-qt
được	R	I-qt	I-qt
sử	V	B-if3	B-if3
dụng	V	I-if3	I-if3
ô	N	I-if3	I-if3
lúc	N	O	O
lái	V	O	O
xe	N	B-tv	B-tv
đạp	N	I-tv	I-tv
không	R	B-qt	B-qt

vừa	R	O	O
đi	V	O	O
xe	N	B-tv	B-tv
đạp	N	I-tv	I-tv
vừa	R	O	O
nghe	V	B-if3	B-if3
điện	N	I-if3	I-if3
thoại	N	I-if3	I-if3
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
nghe	V	B-if3	B-if3
điện	N	I-if3	I-if3
thoại	N	I-if3	I-if3
di	N	I-if3	I-if3
động	N	I-if3	I-if3
trong	E	O	O
lúc	N	O	O
đi	V	O	O
xe	N	B-tv	B-tv
đạp	N	I-tv	I-tv
không	R	B-qt	B-qt

chở	V	B-a	B-a
theo	E	I-a	I-a
2	M	I-a	I-a
trẻ	N	I-a	I-a
em	N	I-a	I-a
8	M	I-a	I-a
tuổi	N	I-a	I-a
trên	E	O	O
xe	N	B-tv	B-tv
đạp	N	I-tv	I-tv
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

nghe	V	B-if3	B-if3
nhạc	N	I-if3	I-if3
lúc	N	O	O
đi	V	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

nghe	V	B-if3	B-if3
nhạc	N	I-if3	I-if3
lúc	N	O	O
đi	V	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

chở	V	O	O
1	M	O	O
người	N	O	O
ngồi	V	B-if3	B-if3
lên	R	I-if3	I-if3
tay	N	I-if3	I-if3
lái	N	I-if3	I-if3
của	E	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
cấm	V	I-qt	I-qt
không	R	I-qt	I-qt

người	N	O	O
ngồi	V	O	O
đằng	N	O	O
sau	E	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đứng	V	B-if3	B-if3
lên	R	I-if3	I-if3
giá	N	I-if3	I-if3
đèo	N	I-if3	I-if3
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

khi	N	O	O
đi	V	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
có	V	O	O
hành	N	O	O
vi	N	O	O
đứng	V	B-if3	B-if3
lên	R	I-if3	I-if3
yên	N	I-if3	I-if3
xe	N	I-if3	I-if3
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

đi	V	O	O
xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
không	R	B-if1	B-if1
có	V	I-if1	I-if1
gương	N	I-if1	I-if1
chiếu	N	I-if1	I-if1
hậu	A	I-if1	I-if1
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

đèn	A	B-if1	B-if1
chiếu	A	I-if1	I-if1
sáng	N	I-if1	I-if1
của	E	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
bị	V	B-if1	B-if1
hỏng	V	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	O
trên	E	B-l	B-l
đường	N	I-l	I-l
không	R	B-qt	B-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đang	R	O	O
đi	V	O	O
trên	E	B-if4	B-l
đường	N	I-if4	I-l
chính	T	I-if4	I-l
,	,	O	I-l
đến	E	O	I-l
đoạn	N	B-l	I-l
giao	V	I-l	I-l
nhau	N	I-l	I-l
với	E	I-l	I-l
đường	N	I-l	I-l
nhánh	N	I-l	I-l
,	,	O	O
xe	N	O	O
có	V	B-qt	B-qt
phải	V	I-qt	I-qt
nhường	V	B-a	B-a
đường	N	I-a	I-a
cho	E	I-a	I-a
xe	N	I-a	I-a
đi	V	I-a	I-a
trên	E	I-a	B-l
đường	N	I-a	I-l
nhánh	N	I-a	I-l
không	R	B-qt	B-qt

2	M	O	O
xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	O	B-a
ngược	A	B-if4	I-a
chiều	N	I-if4	I-a
nhau	N	I-if4	I-a
có	V	B-qt	B-qt
được	R	I-qt	I-qt
dùng	V	B-a	B-a
đèn	N	I-a	I-a
chiếu	N	I-a	I-a
xa	A	I-a	I-a
không	R	B-qt	B-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đối	V	I-tv	I-tv
diện	V	I-tv	I-tv
dùng	V	B-a	B-a
đèn	N	I-a	I-a
chiếu	N	I-a	I-a
xa	A	I-a	I-a
chiếu	N	O	O
vào	V	O	O
xe	N	O	O
máy	N	O	O
thì	C	O	O
xe	N	O	O
ô	N	O	O
tô	N	O	O
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

khi	N	B-if4	O
xe	N	I-if4	B-tv
điện	N	I-if4	I-tv
đang	R	I-if4	B-a
chạy	V	I-if4	I-a
giữa	E	I-if4	I-a
đường	N	I-if4	I-a
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
vượt	V	B-a	B-a
về	E	I-a	I-a
phía	N	I-a	I-a
bên	N	I-a	I-a
phải	A	I-a	I-a
không	R	B-qt	B-qt

khi	N	O	O
vượt	V	B-a	O
xe	N	I-a	O
mà	C	O	O
không	R	B-a	B-a
có	V	I-a	I-a
tín	N	I-a	I-a
hiệu	N	I-a	I-a
báo	N	I-a	I-a
xin	V	I-a	I-a
vượt	V	I-a	I-a
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
vượt	V	B-a	B-a
qua	R	I-a	I-a
vạch	N	I-a	I-a
dừng	V	I-a	I-a
trước	E	B-if4	B-if4
khi	N	I-if4	I-if4
đèn	N	B-tl	B-tl
báo	V	I-tl	I-tl
hiệu	V	I-tl	I-tl
chuyển	V	B-if2	B-if2
sang	V	I-if2	I-if2
màu	N	I-if2	I-if2
đỏ	A	I-if2	I-if2
có	V	O	O
vi	V	B-qt	B-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

lúc	N	O	O
đèn	N	B-tl	O
vàng	N	I-tl	O
ô	N	O	B-tv
tô	N	O	I-tv
có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
di	V	B-a	B-a
chuyển	V	I-a	I-a
hay	C	O	O
không	R	B-qt	B-qt

đèn	N	B-tl	B-tl
báo	V	I-tl	I-tl
hiệu	V	I-tl	I-tl
nhấp	V	B-if2	B-if2
nháy	V	I-if2	I-if2
màu	N	I-if2	I-if2
vàng	N	I-if2	I-if2
,	,	O	O
xe	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
tiếp	V	I-a	I-a
hay	C	O	O
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
một	M	I-if4	I-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
thì	C	O	O
các	L	O	O
xe	N	O	O
phải	V	B-qt	B-qt
làm	X	I-qt	I-qt
gì	X	I-qt	I-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
hai	M	I-if4	I-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
thì	C	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	I-qt	I-qt
tiếp	R	I-qt	I-qt
không	R	I-qt	I-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
thì	C	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
phải	V	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
thì	C	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
trái	N	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
thì	C	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
thẳng	A	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
,	,	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
bên	N	I-if1	I-if1
trái	N	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
trái	N	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	N	I-if4	I-if4
thẳng	A	I-if4	I-if4
đứng	A	I-if4	I-if4
các	L	O	O
xe	N	O	O
ở	E	B-l	O
các	L	I-l	O
hướng	N	I-l	O
khác	A	I-l	O
nhau	A	I-l	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
di	V	I-qt	B-a
chuyển	V	I-qt	I-a
không	R	I-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
dang	V	B-if4	B-if4
ngang	A	I-if4	I-if4
hai	M	I-if4	I-if4
tay	N	I-if4	I-if4
,	,	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
